IDCliente,Estado Civil,Género,Hijos,Hijos en casa,Educación,Ocupación,Casa,Coches,Distancia,Región,Comprador,Edad,Ingresos
14955,C,M,3,3,Formación Profesional,Manual,0,1,0-1 KM,Europa,0,47,20000
14956,S,F,4,4,Formación Profesional,Manual,1,0,0-1 KM,Europa,1,46,20000
14957,S,F,4,4,Formación Profesional,Manual,1,1,0-1 KM,Europa,1,41,20000
14958,C,M,0,0,Bachiller,Profesional,1,0,0-1 KM,Europa,0,43,40000
14959,S,M,2,2,ESO,Religión,1,0,0-1 KM,Europa,0,41,30000
14960,S,M,2,2,ESO,Religión,1,1,0-1 KM,Europa,1,38,30000
14961,C,F,1,0,Bachiller,Obrero,1,0,0-1 KM,Europa,0,39,40000
14962,C,M,1,0,Bachiller,Obrero,1,0,0-1 KM,Europa,0,44,40000
14963,C,F,1,0,Bachiller,Obrero,1,0,0-1 KM,Europa,0,39,40000
14964,C,M,1,0,Bachiller,Obrero,1,0,0-1 KM,Europa,0,44,40000
14965,C,M,2,2,ESO,Religión,0,2,0-1 KM,Europa,1,40,30000
14966,S,M,2,2,ESO,Religión,1,2,0-1 KM,Europa,1,45,30000
14967,S,F,2,2,ESO,Religión,1,2,0-1 KM,Europa,1,45,30000
14968,C,M,1,0,Bachiller,Obrero,1,0,0-1 KM,Europa,0,45,40000
14969,S,M,3,3,ESO,Religión,1,0,0-1 KM,Europa,1,35,30000
14970,C,M,0,0,Formación Profesional,Manual,0,1,2-5 KM,Europa,0,33,20000
14971,C,F,4,4,Formación Profesional,Manual,0,2,0-1 KM,Europa,0,31,20000
14972,S,F,3,3,ESO,Religión,1,1,0-1 KM,Europa,0,30,30000
14973,S,F,3,3,ESO,Religión,1,1,0-1 KM,Europa,0,30,30000
14974,S,M,3,3,ESO,Religión,1,2,0-1 KM,Europa,0,30,30000
14975,C,M,1,0,Bachiller,Obrero,1,0,0-1 KM,Europa,1,46,40000
14976,C,M,1,0,Bachiller,Obrero,1,1,0-1 KM,Europa,1,47,40000
14977,S,F,3,3,ESO,Religión,1,2,0-1 KM,Europa,0,32,30000
14978,S,M,4,4,ESO,Religión,1,1,0-1 KM,Europa,1,31,30000
14979,S,M,4,4,ESO,Religión,1,1,0-1 KM,Europa,1,32,30000
14980,S,F,4,4,ESO,Religión,1,2,0-1 KM,Europa,0,31,30000
14981,S,F,4,4,ESO,Religión,1,3,0-1 KM,Europa,0,32,30000
14982,C,F,4,4,ESO,Religión,0,3,0-1 KM,Europa,0,31,30000
14983,S,M,4,4,ESO,Religión,1,3,0-1 KM,Europa,0,31,30000
14984,S,F,5,5,ESO,Religión,1,1,0-1 KM,Europa,1,31,30000
14985,S,F,0,0,Formación Profesional,Manual,0,1,2-5 KM,Europa,0,32,20000
14986,C,M,0,0,Formación Profesional,Manual,0,1,2-5 KM,Europa,0,33,20000
14987,S,F,0,0,Formación Profesional,Manual,0,1,5-10 KM,Europa,0,33,20000
14988,C,F,0,0,FP en curso,Manual,1,2,0-1 KM,Europa,0,35,10000
14989,S,F,0,0,Formación Profesional,Manual,0,1,5-10 KM,Europa,0,33,20000
14990,S,M,0,0,ESO,Religión,0,1,0-1 KM,Europa,1,34,30000
14991,S,M,0,0,ESO,Religión,0,1,0-1 KM,Europa,1,34,30000
14992,C,M,2,0,FP en curso,Manual,1,1,5-10 KM,Europa,0,97,20000
14993,S,M,0,0,FP en curso,Manual,1,1,2-5 KM,Europa,0,34,20000
14994,S,M,0,0,FP en curso,Manual,0,1,2-5 KM,Europa,0,34,20000
14995,S,F,0,0,FP en curso,Manual,0,2,1-2 KM,Europa,1,30,20000
14996,S,M,0,0,ESO,Religión,0,1,0-1 KM,Europa,0,34,30000
14997,C,M,0,0,ESO,Religión,0,1,0-1 KM,Europa,1,34,30000
14998,S,M,0,0,FP en curso,Manual,0,2,1-2 KM,Europa,1,35,20000
14999,S,F,0,0,FP en curso,Manual,1,2,1-2 KM,Europa,0,36,10000
15000,S,F,0,0,FP en curso,Manual,0,2,0-1 KM,Europa,0,36,10000
15001,S,F,0,0,FP en curso,Manual,0,2,1-2 KM,Europa,0,37,10000
15002,S,F,0,0,FP en curso,Manual,0,2,0-1 KM,Europa,1,36,20000
15003,S,M,0,0,FP en curso,Manual,0,2,1-2 KM,Europa,1,31,20000
15004,S,F,0,0,FP en curso,Manual,1,2,1-2 KM,Europa,1,36,20000
15005,S,M,0,0,ESO,Obrero,0,2,1-2 KM,Norte América,1,31,60000
15006,C,F,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,1,31,70000
15007,S,F,0,0,FP en curso,Religión,0,2,5-10 KM,Norte América,0,32,40000
15008,C,M,0,0,FP en curso,Religión,0,2,1-2 KM,Norte América,0,32,40000
15009,S,F,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,0,32,30000
15010,C,M,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,0,32,30000
15011,S,F,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,0,32,60000
15012,C,F,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,0,33,60000
15013,S,F,0,0,ESO,Obrero,0,2,1-2 KM,Norte América,0,33,60000
15014,C,M,3,0,ESO,Religión,0,2,1-2 KM,Pacífico,1,55,30000
15015,C,M,3,0,ESO,Religión,0,2,1-2 KM,Pacífico,1,59,30000
15016,S,M,0,0,FP en curso,Religión,0,2,1-2 KM,Norte América,1,30,40000
15017,S,F,0,0,ESO,Obrero,0,2,1-2 KM,Norte América,1,29,20000
15018,C,F,3,0,Formación Profesional,Obrero,0,2,1-2 KM,Pacífico,0,58,30000
15019,S,F,3,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,0,59,30000
15020,C,F,3,0,Formación Profesional,Obrero,0,2,1-2 KM,Pacífico,0,58,30000
15021,C,M,3,0,Formación Profesional,Obrero,0,2,1-2 KM,Pacífico,0,58,30000
15022,C,F,2,0,ESO,Religión,0,2,1-2 KM,Pacífico,1,52,40000
15023,C,M,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,1,30,70000
15024,C,M,3,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,0,46,30000
15025,S,F,2,0,ESO,Religión,1,2,5-10 KM,Pacífico,0,57,40000
15026,S,F,2,0,ESO,Religión,1,2,5-10 KM,Pacífico,0,57,40000
15027,C,M,3,0,ESO,Obrero,1,2,5-10 KM,Pacífico,1,56,40000
15028,S,F,0,0,ESO,Manual,0,1,0-1 KM,Pacífico,1,30,10000
15029,S,M,0,0,ESO,Manual,1,1,2-5 KM,Pacífico,1,30,10000
15030,C,M,0,0,Bachiller,Religión,1,0,0-1 KM,Pacífico,1,29,20000
15031,C,M,0,0,Formación Profesional,Manual,1,1,2-5 KM,Pacífico,0,33,10000
15032,S,F,1,1,Formación Profesional,Manual,0,0,2-5 KM,Pacífico,1,33,10000
15033,S,F,1,1,Formación Profesional,Manual,0,0,2-5 KM,Pacífico,1,33,10000
15034,S,M,1,1,Formación Profesional,Manual,0,0,2-5 KM,Pacífico,0,30,10000
15035,S,M,1,1,Formación Profesional,Manual,0,0,2-5 KM,Pacífico,1,31,10000
15036,S,M,0,0,Bachiller,Religión,1,0,0-1 KM,Pacífico,1,30,20000
15037,S,M,0,0,Bachiller,Religión,1,0,0-1 KM,Pacífico,1,30,20000
15038,C,M,0,0,Bachiller,Religión,1,0,0-1 KM,Pacífico,1,31,20000
15039,S,F,1,1,Formación Profesional,Manual,0,0,1-2 KM,Pacífico,0,32,10000
15040,C,M,1,1,Formación Profesional,Manual,1,0,2-5 KM,Pacífico,1,32,10000
15041,C,F,1,1,Formación Profesional,Manual,1,0,2-5 KM,Pacífico,1,32,10000
15042,S,M,0,0,ESO,Manual,0,0,0-1 KM,Pacífico,1,33,20000
15043,S,M,0,0,ESO,Manual,1,0,0-1 KM,Pacífico,1,32,20000
15044,S,F,0,0,ESO,Manual,1,0,0-1 KM,Pacífico,1,32,20000
15045,C,F,2,0,ESO,Manual,1,0,0-1 KM,Europa,0,61,20000
15046,C,F,1,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,66,40000
15047,C,F,3,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,48,30000
15048,C,F,3,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,48,30000
15049,S,M,1,1,Formación Profesional,Manual,0,1,1-2 KM,Europa,0,44,10000
15050,S,M,1,1,ESO,Manual,0,0,1-2 KM,Europa,1,43,20000
15051,S,M,1,1,ESO,Manual,0,0,1-2 KM,Europa,1,49,20000
15052,C,F,1,1,ESO,Manual,1,0,2-5 KM,Europa,0,44,20000
15053,S,M,1,1,Formación Profesional,Manual,0,1,2-5 KM,Europa,0,44,10000
15054,S,M,2,0,ESO,Manual,1,1,1-2 KM,Europa,1,51,20000
15055,C,M,2,0,ESO,Manual,1,1,2-5 KM,Europa,1,50,20000
15056,C,F,2,0,ESO,Manual,1,1,2-5 KM,Europa,1,50,20000
15057,S,F,2,0,ESO,Manual,1,1,2-5 KM,Europa,0,45,20000
15058,C,M,3,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,44,30000
15059,C,F,3,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,45,30000
15060,S,M,2,0,ESO,Manual,1,1,2-5 KM,Europa,0,45,20000
15061,C,F,3,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,49,30000
15062,S,F,3,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,49,30000
15063,C,F,3,0,Bachiller,Religión,1,0,0-1 KM,Europa,1,49,30000
15064,C,M,3,0,Bachiller,Religión,1,0,0-1 KM,Europa,1,49,30000
15065,S,M,1,1,Formación Profesional,Manual,0,1,2-5 KM,Europa,0,34,10000
15066,C,F,1,1,Formación Profesional,Manual,1,1,5-10 KM,Europa,0,40,10000
15067,S,F,2,2,Formación Profesional,Manual,1,0,0-1 KM,Europa,1,40,10000
15068,S,F,0,0,ESO,Manual,0,1,2-5 KM,Europa,0,34,20000
15069,S,M,0,0,ESO,Manual,1,1,2-5 KM,Europa,0,40,20000
15070,S,M,2,2,Formación Profesional,Manual,1,0,0-1 KM,Europa,1,40,10000
15071,S,F,0,0,Bachiller,Religión,1,0,0-1 KM,Europa,1,33,30000
15072,S,F,0,0,Bachiller,Religión,1,0,0-1 KM,Europa,1,39,30000
15073,C,F,0,0,Bachiller,Religión,1,0,0-1 KM,Europa,1,34,30000
15074,C,F,3,0,Bachiller,Religión,0,2,0-1 KM,Europa,0,90,10000
15075,C,F,3,0,Bachiller,Religión,0,2,0-1 KM,Europa,0,89,10000
15076,C,F,0,0,ESO,Manual,0,1,1-2 KM,Europa,0,40,20000
15077,C,F,0,0,Bachiller,Religión,1,0,0-1 KM,Europa,1,40,30000
15078,S,M,0,0,Bachiller,Religión,0,0,1-2 KM,Europa,1,35,30000
15079,C,M,0,0,Bachiller,Religión,1,0,0-1 KM,Europa,1,40,30000
15080,C,F,0,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,29,40000
15081,C,F,0,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,40,40000
15082,C,M,0,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,40,40000
15083,C,F,0,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,40,40000
15084,S,F,0,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,35,40000
15085,S,F,0,0,Grado Universitario,Religión,1,0,0-1 KM,Europa,1,40,40000
15086,S,F,0,0,Grado Universitario,Obrero,1,0,0-1 KM,Europa,1,35,50000
15087,S,F,0,0,Grado Universitario,Obrero,0,0,0-1 KM,Europa,1,35,50000
15088,S,F,0,0,Grado Universitario,Obrero,1,0,0-1 KM,Europa,1,35,50000
15089,C,M,0,0,Grado Universitario,Obrero,1,0,0-1 KM,Europa,1,40,50000
15090,S,M,2,1,Formación Profesional,Manual,1,2,0-1 KM,Europa,0,45,10000
15091,C,M,1,1,ESO,Manual,1,0,2-5 KM,Europa,0,42,20000
15092,C,M,3,2,ESO,Profesional,1,1,2-5 KM,Europa,0,55,80000
15093,C,M,5,1,Formación Profesional,Profesional,1,2,2-5 KM,Europa,1,66,70000
15094,C,F,5,1,Formación Profesional,Profesional,1,2,10+ KM,Europa,1,60,70000
15095,C,F,5,1,Formación Profesional,Profesional,0,2,2-5 KM,Europa,1,65,70000
15096,C,M,5,0,Bachiller,Administrativo,1,2,10+ KM,Europa,0,64,80000
15097,C,F,3,4,Bachiller,Administrativo,1,4,5-10 KM,Europa,1,64,110000
15098,S,F,5,0,ESO,Profesional,0,2,10+ KM,Europa,0,64,80000
15099,S,M,5,0,ESO,Profesional,1,2,10+ KM,Europa,0,63,80000
15100,C,F,3,4,Bachiller,Administrativo,0,4,5-10 KM,Europa,1,63,110000
15101,S,M,4,5,Bachiller,Administrativo,1,1,10+ KM,Europa,1,63,120000
15102,C,M,4,4,ESO,Profesional,1,4,0-1 KM,Europa,0,63,130000
15103,C,M,4,2,ESO,Profesional,1,2,10+ KM,Europa,0,57,80000
15104,C,F,4,2,ESO,Profesional,1,2,2-5 KM,Europa,0,46,80000
15105,C,F,3,4,Formación Profesional,Profesional,1,3,10+ KM,Europa,0,44,100000
15106,C,M,3,4,Formación Profesional,Profesional,1,4,10+ KM,Europa,1,44,170000
15107,C,M,4,2,ESO,Profesional,1,2,2-5 KM,Europa,0,56,90000
15108,C,F,4,5,ESO,Profesional,1,2,0-1 KM,Europa,0,56,130000
15109,C,F,4,1,Formación Profesional,Profesional,1,2,10+ KM,Europa,0,41,80000
15110,C,F,3,4,ESO,Profesional,1,4,2-5 KM,Europa,0,58,100000
15111,C,F,4,1,Formación Profesional,Profesional,1,3,2-5 KM,Europa,0,53,80000
15112,C,F,4,1,Formación Profesional,Profesional,1,3,2-5 KM,Europa,0,52,80000
15113,C,M,5,2,Formación Profesional,Profesional,1,2,10+ KM,Europa,0,53,80000
15114,C,F,4,5,ESO,Profesional,1,2,10+ KM,Europa,1,58,110000
15115,S,M,4,1,Formación Profesional,Administrativo,1,3,10+ KM,Europa,0,59,90000
15116,C,F,3,4,ESO,Administrativo,0,4,5-10 KM,Europa,1,54,100000
15117,C,F,3,4,ESO,Administrativo,1,4,10+ KM,Europa,1,60,100000
15118,C,M,5,5,Formación Profesional,Administrativo,1,4,10+ KM,Europa,1,60,170000
15119,C,M,5,5,FP en curso,Profesional,1,4,10+ KM,Europa,0,56,120000
15120,C,F,0,0,Bachiller,Profesional,1,2,10+ KM,Pacífico,1,34,70000
15121,S,M,0,0,Bachiller,Profesional,0,3,10+ KM,Pacífico,1,33,70000
15122,S,F,0,0,Bachiller,Profesional,1,3,10+ KM,Pacífico,1,33,70000
15123,S,M,0,0,Bachiller,Profesional,1,3,10+ KM,Pacífico,0,34,70000
15124,S,F,0,0,Bachiller,Profesional,1,4,10+ KM,Pacífico,0,35,60000
15125,S,M,0,0,Bachiller,Profesional,0,3,10+ KM,Pacífico,0,35,80000
15126,S,M,0,0,Bachiller,Profesional,1,3,10+ KM,Pacífico,0,35,80000
15127,S,M,0,0,Bachiller,Profesional,0,2,10+ KM,Pacífico,1,29,90000
15128,S,F,0,0,Bachiller,Profesional,0,4,10+ KM,Pacífico,0,35,70000
15129,C,F,0,0,Bachiller,Profesional,0,3,10+ KM,Pacífico,1,30,90000
15130,S,M,0,0,Bachiller,Profesional,0,3,10+ KM,Pacífico,1,31,90000
15131,S,F,0,0,Bachiller,Profesional,1,3,10+ KM,Pacífico,0,32,80000
15132,C,F,0,5,Formación Profesional,Administrativo,1,2,10+ KM,Pacífico,0,37,100000
15133,C,M,5,5,FP en curso,Profesional,1,4,10+ KM,Pacífico,1,36,120000
15134,S,F,0,0,Bachiller,Profesional,1,3,10+ KM,Pacífico,1,37,90000
15135,S,M,0,0,Bachiller,Profesional,0,3,10+ KM,Pacífico,1,32,90000
15136,C,F,0,5,Formación Profesional,Administrativo,0,3,10+ KM,Pacífico,0,37,100000
15137,C,M,0,5,Formación Profesional,Administrativo,1,3,10+ KM,Pacífico,0,37,100000
15138,S,F,0,5,Formación Profesional,Administrativo,1,3,10+ KM,Pacífico,0,37,100000
15139,C,M,0,0,Bachiller,Profesional,0,4,10+ KM,Pacífico,0,38,80000
15140,S,F,0,0,Bachiller,Profesional,0,4,10+ KM,Pacífico,0,38,80000
15141,S,F,0,0,Bachiller,Profesional,1,4,10+ KM,Pacífico,0,38,80000
15142,C,M,4,5,Formación Profesional,Administrativo,1,4,10+ KM,Pacífico,0,37,130000
15143,C,M,0,0,Bachiller,Profesional,1,4,10+ KM,Pacífico,1,38,90000
15144,S,F,0,0,Bachiller,Profesional,1,4,10+ KM,Pacífico,1,38,90000
15145,S,F,0,0,Bachiller,Profesional,1,4,10+ KM,Pacífico,1,38,90000
15146,C,F,0,5,Formación Profesional,Administrativo,1,4,10+ KM,Pacífico,0,38,100000
15147,C,M,0,5,Formación Profesional,Administrativo,1,4,10+ KM,Pacífico,0,33,100000
15148,C,M,0,0,Bachiller,Profesional,1,4,10+ KM,Pacífico,0,39,90000
15149,C,F,0,0,Bachiller,Profesional,0,4,10+ KM,Pacífico,0,34,90000
15150,C,F,0,5,Formación Profesional,Administrativo,0,4,10+ KM,Pacífico,1,39,110000
15151,C,M,0,5,FP en curso,Profesional,1,4,10+ KM,Pacífico,1,32,110000
15152,C,F,0,5,FP en curso,Profesional,1,4,10+ KM,Pacífico,1,38,110000
15153,C,F,0,5,FP en curso,Profesional,0,4,10+ KM,Pacífico,0,38,110000
15154,C,M,0,5,FP en curso,Administrativo,1,4,10+ KM,Pacífico,0,38,130000
15155,C,F,5,0,Grado Universitario,Administrativo,1,2,10+ KM,Norte América,1,68,70000
15156,C,M,5,0,Bachiller,Administrativo,1,2,5-10 KM,Norte América,0,69,90000
15157,C,M,2,3,Grado Universitario,Administrativo,1,3,5-10 KM,Norte América,0,69,100000
15158,C,F,2,3,Grado Universitario,Administrativo,1,3,5-10 KM,Norte América,0,68,100000
15159,C,M,2,3,Grado Universitario,Administrativo,1,3,1-2 KM,Norte América,0,68,100000
15160,C,F,5,0,Bachiller,Administrativo,1,2,5-10 KM,Norte América,0,68,80000
15161,S,F,5,0,Bachiller,Administrativo,1,2,5-10 KM,Norte América,0,67,90000
15162,C,F,2,3,Grado Universitario,Administrativo,1,3,5-10 KM,Norte América,0,67,100000
15163,C,F,2,3,Grado Universitario,Administrativo,1,3,5-10 KM,Norte América,0,67,100000
15164,C,F,2,3,Grado Universitario,Administrativo,1,3,5-10 KM,Norte América,0,66,100000
15165,C,M,2,3,Grado Universitario,Administrativo,1,3,5-10 KM,Norte América,0,66,100000
15166,C,F,2,3,Bachiller,Administrativo,1,4,0-1 KM,Norte América,1,66,130000
15167,C,F,2,3,Bachiller,Administrativo,1,4,0-1 KM,Norte América,1,67,130000
15168,C,M,4,0,Bachiller,Administrativo,1,2,10+ KM,Norte América,0,65,70000
15169,C,M,3,0,ESO,Obrero,1,2,5-10 KM,Pacífico,1,56,40000
15170,C,M,2,0,ESO,Obrero,1,2,5-10 KM,Pacífico,1,38,80000
15171,S,F,2,0,ESO,Obrero,1,2,5-10 KM,Pacífico,1,55,80000
15172,S,F,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,0,29,30000
15173,S,M,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,0,34,30000
15174,S,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,35,30000
15175,S,F,0,0,ESO,Profesional,1,2,5-10 KM,Norte América,1,30,70000
15176,C,F,0,0,ESO,Profesional,1,2,5-10 KM,Norte América,1,37,70000
15177,S,M,0,0,ESO,Profesional,0,2,0-1 KM,Norte América,0,36,70000
15178,C,M,2,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,54,80000
15179,S,M,2,0,Formación Profesional,Obrero,0,2,1-2 KM,Pacífico,1,54,70000
15180,S,F,2,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,54,70000
15181,S,F,2,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,42,70000
15182,S,F,2,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,48,70000
15183,S,F,2,0,Formación Profesional,Profesional,0,2,5-10 KM,Pacífico,1,36,70000
15184,S,M,0,1,Grado Universitario,Administrativo,1,1,5-10 KM,Pacífico,1,51,130000
15185,C,M,0,1,Grado Universitario,Administrativo,1,1,0-1 KM,Pacífico,1,51,130000
15186,C,F,0,1,Grado Universitario,Administrativo,1,2,0-1 KM,Pacífico,0,46,130000
15187,S,M,0,0,Bachiller,Administrativo,0,1,0-1 KM,Norte América,1,36,80000
15188,S,M,0,0,ESO,Profesional,1,2,5-10 KM,Norte América,1,36,60000
15189,C,F,0,0,ESO,Profesional,1,2,5-10 KM,Norte América,1,30,60000
15190,S,F,0,0,ESO,Profesional,0,2,5-10 KM,Norte América,0,35,60000
15191,S,M,0,0,Formación Profesional,Profesional,0,2,5-10 KM,Norte América,1,35,60000
15192,S,F,0,1,Grado Universitario,Administrativo,0,3,0-1 KM,Pacífico,1,50,130000
15193,S,M,2,2,Bachiller,Administrativo,1,3,2-5 KM,Norte América,1,44,120000
15194,S,M,2,2,Bachiller,Administrativo,0,3,0-1 KM,Norte América,1,37,120000
15195,S,M,2,2,Bachiller,Administrativo,1,3,2-5 KM,Norte América,1,43,120000
15196,S,M,2,2,Bachiller,Administrativo,1,4,2-5 KM,Norte América,1,38,120000
15197,C,M,2,0,Formación Profesional,Profesional,0,2,1-2 KM,Norte América,0,52,60000
15198,C,F,2,0,Formación Profesional,Profesional,0,2,1-2 KM,Norte América,0,47,60000
15199,C,M,3,2,ESO,Profesional,1,0,5-10 KM,Norte América,1,53,70000
15200,C,F,3,2,ESO,Profesional,1,0,0-1 KM,Norte América,1,53,70000
15201,S,F,2,0,ESO,Profesional,1,1,2-5 KM,Norte América,1,53,90000
15202,C,M,2,0,ESO,Profesional,1,1,5-10 KM,Norte América,0,52,90000
15203,C,M,2,0,ESO,Profesional,1,1,2-5 KM,Norte América,1,47,90000
15204,C,F,4,4,Bachiller,Profesional,1,0,1-2 KM,Pacífico,1,42,90000
15205,S,F,4,4,Bachiller,Profesional,1,0,1-2 KM,Pacífico,1,42,90000
15206,C,M,4,4,Bachiller,Profesional,0,0,0-1 KM,Pacífico,0,42,90000
15207,S,M,0,0,Grado Universitario,Administrativo,1,0,2-5 KM,Pacífico,1,42,100000
15208,C,F,1,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,1,47,60000
15209,C,M,1,0,Bachiller,Profesional,1,1,0-1 KM,Pacífico,1,36,60000
15210,S,M,1,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,1,47,60000
15211,S,M,1,0,ESO,Obrero,0,1,0-1 KM,Pacífico,1,49,60000
15212,C,M,1,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,0,48,60000
15213,C,F,1,0,ESO,Obrero,1,1,0-1 KM,Pacífico,1,48,60000
15214,S,F,0,0,Grado Universitario,Administrativo,0,1,1-2 KM,Pacífico,1,43,100000
15215,S,M,0,0,Grado Universitario,Administrativo,0,1,1-2 KM,Pacífico,1,43,100000
15216,C,F,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,0,49,60000
15217,S,M,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,0,44,60000
15218,S,M,0,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,1,44,70000
15219,S,M,0,0,Bachiller,Profesional,0,1,0-1 KM,Pacífico,1,39,70000
15220,S,M,0,0,Bachiller,Profesional,0,1,0-1 KM,Pacífico,1,40,70000
15221,S,M,0,0,Bachiller,Profesional,0,1,0-1 KM,Pacífico,1,40,70000
15222,C,F,0,0,Bachiller,Profesional,0,1,0-1 KM,Pacífico,0,40,70000
15223,S,F,0,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,1,39,70000
15224,S,M,0,0,Bachiller,Profesional,0,1,5-10 KM,Pacífico,0,40,70000
15225,C,F,1,0,Bachiller,Profesional,1,1,2-5 KM,Pacífico,1,50,90000
15226,S,F,0,0,Bachiller,Profesional,0,2,0-1 KM,Pacífico,1,35,70000
15227,S,M,0,0,Bachiller,Profesional,1,2,5-10 KM,Pacífico,1,46,70000
15228,C,M,0,0,Bachiller,Profesional,0,2,0-1 KM,Pacífico,1,46,70000
15229,C,M,1,0,ESO,Obrero,1,1,0-1 KM,Pacífico,1,47,60000
15230,C,F,5,4,Bachiller,Profesional,1,2,0-1 KM,Pacífico,0,41,70000
15231,C,F,5,4,ESO,Obrero,0,2,0-1 KM,Pacífico,0,47,70000
15232,S,M,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,0,43,60000
15233,C,F,5,4,ESO,Obrero,1,3,5-10 KM,Pacífico,0,43,70000
15234,S,F,4,0,Bachiller,Administrativo,1,1,10+ KM,Pacífico,0,51,100000
15235,C,F,3,2,ESO,Obrero,1,2,0-1 KM,Pacífico,0,44,60000
15236,C,F,5,4,ESO,Obrero,1,3,10+ KM,Pacífico,0,49,70000
15237,C,M,5,4,ESO,Obrero,0,3,5-10 KM,Pacífico,0,38,70000
15238,C,M,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,0,47,70000
15239,C,M,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,0,53,70000
15240,C,F,2,0,Bachiller,Administrativo,1,1,0-1 KM,Pacífico,0,56,40000
15241,C,M,2,0,Bachiller,Administrativo,1,1,5-10 KM,Pacífico,0,51,40000
15242,C,M,2,0,Bachiller,Administrativo,1,1,0-1 KM,Pacífico,0,56,40000
15243,C,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,33,30000
15244,C,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,33,30000
15245,C,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,33,30000
15246,C,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,33,30000
15247,S,F,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,0,34,40000
15248,C,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,33,40000
15249,S,F,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,0,30,30000
15250,S,M,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,0,29,30000
15251,S,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,30,30000
15252,C,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,1,30,40000
15253,C,M,5,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,0,63,10000
15254,C,F,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,1,30,40000
15255,C,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,1,31,40000
15256,S,M,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,1,32,40000
15257,S,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,32,40000
15258,C,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,31,40000
15259,S,M,0,0,FP en curso,Religión,0,2,5-10 KM,Norte América,0,32,30000
15260,S,F,0,0,FP en curso,Religión,1,2,5-10 KM,Norte América,0,32,30000
15261,C,F,2,0,Bachiller,Administrativo,0,2,0-1 KM,Pacífico,0,64,40000
15262,C,F,2,0,ESO,Religión,0,2,0-1 KM,Pacífico,1,69,30000
15263,C,F,2,0,ESO,Religión,0,2,5-10 KM,Pacífico,0,69,30000
15264,C,M,2,0,ESO,Religión,0,2,5-10 KM,Pacífico,0,69,30000
15265,S,M,2,0,Bachiller,Administrativo,1,2,5-10 KM,Pacífico,1,69,40000
